run_seed,generation,best_generation_fitness,avg_generation_fitness,worst_generation_fitness,best_global_fitness,best_global_individual
0,0,901691,9915064.41,23932021,901691,"[7, 1, 2, 8, 9, 3, 6, 5, 4, 0]"
0,1,901691,6194824.21,24054178,901691,"[7, 1, 2, 8, 9, 3, 6, 5, 4, 0]"
0,2,899691,5005033.048,21268280,899691,"[4, 7, 1, 8, 9, 3, 6, 5, 2, 0]"
0,3,700017,5098495.116,23351518,700017,"[7, 1, 2, 8, 9, 4, 0, 5, 6, 3]"
0,4,700017,4778842.186,21225775,700017,"[7, 1, 2, 8, 9, 4, 0, 5, 6, 3]"
0,5,700017,2935228.758,22060475,700017,"[7, 1, 2, 8, 9, 4, 0, 5, 6, 3]"
0,6,400310,1746165.856,20245995,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,7,400310,2246276.23,20245995,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,8,400310,2313391.144,20245995,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,9,400310,1431817.796,17234465,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,10,400310,1752455.508,18211664,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,11,400310,2139058.882,16973924,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,12,400310,742406.348,17431763,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,13,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,14,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,15,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,16,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,17,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,18,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,19,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,20,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,21,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,22,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,23,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,24,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,25,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,26,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,27,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,28,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,29,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,30,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,31,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,32,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,33,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,34,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,35,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,36,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,37,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,38,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,39,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,40,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,41,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,42,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,43,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,44,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,45,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,46,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,47,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,48,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,49,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,50,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,51,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,52,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,53,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,54,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,55,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,56,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,57,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,58,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,59,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,60,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,61,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,62,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,63,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,64,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,65,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,66,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,67,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,68,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,69,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,70,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,71,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,72,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,73,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,74,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,75,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,76,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,77,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,78,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,79,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,80,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,81,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,82,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,83,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,84,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,85,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,86,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,87,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,88,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,89,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,90,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,91,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,92,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,93,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,94,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,95,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,96,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,97,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,98,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,99,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
0,100,400310,400310.0,400310,400310,"[4, 7, 2, 8, 9, 3, 6, 5, 0, 1]"
1,0,1220900,10342693.636,24850292,1220900,"[5, 3, 0, 8, 9, 2, 7, 4, 6, 1]"
1,1,1010359,6707734.788,23548420,1010359,"[4, 6, 9, 5, 3, 7, 0, 8, 1, 2]"
1,2,1010359,6120920.692,22155870,1010359,"[4, 6, 9, 5, 3, 7, 0, 8, 1, 2]"
1,3,807900,6233683.026,22065855,807900,"[2, 3, 1, 7, 8, 4, 6, 5, 9, 0]"
1,4,700048,6243522.598,22266768,700048,"[9, 6, 2, 4, 3, 7, 0, 8, 5, 1]"
1,5,409000,5907923.028,22549595,409000,"[2, 1, 9, 8, 7, 4, 0, 5, 3, 6]"
1,6,290000,5869201.16,23044047,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,7,290000,5957505.878,23242594,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,8,290000,5403776.23,23146215,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,9,290000,5500104.602,23336404,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,10,290000,5116101.162,21867627,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,11,290000,5486807.956,22533462,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,12,290000,4934176.266,22256760,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
1,13,290000,3633806.24,22435560,290000,"[3, 1, 9, 8, 7, 4, 0, 5, 2, 6]"
